;Data;Suma przebadanych osób;Nowe przebadne osoby;Suma wykonanych testów;Dobowa liczba wykonanych testów;Dobowa liczba wykonanych testów antygenowych;% testów antygenowych w dobowej liczbie wykonanych testów;Suma zleceń POZ;Dobowa liczba zleceń POZ;zmiana tygodniowa dobowej liczby zleceń POZ;Suma osób z wynikiem pozytywnym;Dobowa liczba osób z wynikiem pozywnym;% osób z wynikiem pozytywnym (w ogólnej liczbie testów);% osób z wynikiem pozytywnym (w ogólnej liczbie przebadanych osób);dobowy % osób z wynikiem pozytywnym (w dobowej liczbie testów);dobowy % osób z wynikiem pozytywnym (w dobowej liczbie nowych przebadanych osób);Suma wyników negatywnych i powtórnie pozytywnych;Wyniki negatywne i powtórnie pozywyne;;7-dniowa średnia dobowej liczby wykonanych testów;7-dniowa średnia dobowego % wyników pozytywnych  (w dobowej liczbie testów);;! UWAGI ;! W dniu 08.08 MZ podało informację o zawyżeniu sumy przebadanych próbek o ~230 tys. przez WSSE Kielce przez błąd w raportowaniu. Dane historyczne dot. sumy próbek nie zostały skorygowane.                                                            ! Brak raportu za dzień 25.07, podano tylko zaokrągloną liczbę przebadanych próbek.      ! Zmiana godziny raportowania.                                                                                                                                                                                                                              ! Do raportu dodano liczbę przebadanych osób.                                                                                                                                                                                                                                                                                                                                                                               ! Brak raportów za dzień 06.03 i 15.03   ! W związku ze zmianą systemu raportowania i korektami MZ, suma przypadków może nie być zgodna z sumą w zakałdce 'Wzrost';;;;;;;;;;;;;
;03.02;8508292;43574;8794269;43943;13218;30.08%;2053309;11147;4.31%;1513733;6496;17.21%;17.79%;14.78%;14.91%;7280536;37447;;39 573;13.2%;;;;;;;;;;;;;;;;
;04.02;8549490;41198;8835802;41533;13841;33.33%;2064307;10998;5.68%;1519786;6053;17.20%;17.78%;14.57%;14.69%;7316016;35480;;39 075;13.3%;;;;;;;;;;;;;;;;
;05.02;8593146;43656;8880135;44333;13153;29.67%;2075712;11405;2.46%;1525812;6026;17.18%;17.76%;13.59%;13.80%;7354323;38307;;38 993;13.4%;;;;;;;;;;;;;;;;
;06.02;8624151;31005;8911488;31353;7367;23.50%;2075955;243;-6.54%;1530540;4728;17.17%;17.75%;15.08%;15.25%;7380948;26625;;38 861;13.5%;;;;;;;;;;;;;;;;
;07.02;8644972;20821;8932555;21067;7600;36.08%;2076129;174;-7.94%;1532971;2431;17.16%;17.73%;11.54%;11.68%;7399584;18636;;38 783;13.5%;;;;;;;;;;;;;;;;
;08.02;8687929;42957;8976048;43493;14907;34.27%;2094633;18504;4.10%;1537000;4029;17.12%;17.69%;9.26%;9.38%;7439048;39464;;38 990;13.3%;;;;;;;;;;;;;;;;
;09.02;8739528;51599;9028104;52056;13518;25.97%;2106615;11982;2.22%;1543930;6930;17.10%;17.67%;13.31%;13.43%;7484174;45126;;39 683;13.2%;;;;;;;;;;;;;;;;
;10.02;8790724;51196;9079794;51690;13724;26.55%;2118733;12118;8.71%;1550938;7008;17.08%;17.64%;13.56%;13.69%;7528856;44682;;40 789;13.0%;;;;;;;;;;;;;;;;
;11.02;8838972;48248;9128691;48897;14353;29.35%;2130262;11529;4.83%;1557317;6379;17.06%;17.62%;13.05%;13.22%;7571374;42518;;41 841;12.8%;;;;;;;;;;;;;;;;
;12.02;8887966;48994;9178403;49712;14886;29.94%;2142065;11803;3.49%;1563903;6586;17.04%;17.60%;13.25%;13.44%;7614500;43126;;42 610;12.7%;;;;;;;;;;;;;;;;
;13.02;8922096;34130;9212969;34566;8121;23.49%;2142349;284;16.87%;1569237;5334;17.03%;17.59%;15.43%;15.63%;7643732;29232;;43 069;12.8%;;;;;;;;;;;;;;;;
;14.02;8944456;22360;9235525;22556;7688;34.08%;2142524;175;0.57%;1571780;2543;17.02%;17.57%;11.27%;11.37%;7663745;20013;;43 281;12.7%;;;;;;;;;;;;;;;;
;15.02;8990197;45741;9281766;46241;17216;37.23%;2164479;21955;18.65%;1576958;5178;16.99%;17.54%;11.20%;11.32%;7704808;41063;;43 674;13.0%;;;;;;;;;;;;;;;;
;16.02;9044465;54268;9336547;54781;15869;28.97%;2179439;14960;24.85%;1585652;8694;16.98%;17.53%;15.87%;16.02%;7750895;46087;;44 063;13.4%;;;;;;;;;;;;;;;;
;17.02;9098024;53559;9390624;54077;14880;27.52%;2194176;14737;21.61%;1594725;9073;16.98%;17.53%;16.78%;16.94%;7795899;45004;;44 404;13.8%;;;;;;;;;;;;;;;;
;18.02;9147093;49069;9440073;49449;14832;29.99%;2208683;14507;25.83%;1603502;8777;16.99%;17.53%;17.75%;17.89%;7836571;40672;;44 483;14.5%;;;;;;;;;;;;;;;;
;19.02;9197128;50035;9490578;50505;15111;29.92%;2224192;15509;31.40%;1612012;8510;16.99%;17.53%;16.85%;17.01%;7878566;41995;;44 596;15.0%;;;;;;;;;;;;;;;;
;20.02;9234183;37055;9527985;37407;9736;26.03%;2224606;414;45.77%;1619050;7038;16.99%;17.53%;18.81%;18.99%;7908935;30369;;45 002;15.5%;;;;;;;;;;;;;;;;
;21.02;9258891;24708;9552909;24924;8329;33.42%;2224849;243;38.86%;1622940;3890;16.99%;17.53%;15.61%;15.74%;7929969;21034;;45 341;16.1%;;;;;;;;;;;;;;;;
;22.02;9300399;41508;9594884;41975;14777;35.20%;2251584;26735;21.77%;1629250;6310;16.98%;17.52%;15.03%;15.20%;7965634;35665;;44 731;16.7%;;;;;;;;;;;;;;;;
;23.02;9361567;61168;9656731;61847;20318;32.85%;2269595;18011;20.39%;1641396;12146;17.00%;17.53%;19.64%;19.86%;8015335;49701;;45 741;17.2%;;;;;;;;;;;;;;;;
;24.02;9418440;56873;9714184;57453;15706;27.34%;2287542;17947;21.78%;1653538;12142;17.02%;17.56%;21.13%;21.35%;8060646;45311;;46 223;17.8%;;;;;;;;;;;;;;;;
;25.02;9471208;52768;9767553;53369;16465;30.85%;2305531;17989;24.00%;1665077;11539;17.05%;17.58%;21.62%;21.87%;8102476;41830;;46 783;18.4%;;;;;;;;;;;;;;;;
;26.02;9527653;56445;9824524;56971;17022;29.88%;2325023;19492;25.68%;1677177;12100;17.07%;17.60%;21.24%;21.44%;8147347;44871;;47 707;19.0%;;;;;;;;;;;;;;;;
;27.02;9571171;43518;9868422;43898;10210;23.26%;2325494;471;13.77%;1687276;10099;17.10%;17.63%;23.01%;23.21%;8181146;33799;;48 634;19.6%;;;;;;;;;;;;;;;;
;28.02;9597667;26496;9895192;26770;8937;33.38%;2325792;298;22.63%;1692062;4786;17.10%;17.63%;17.88%;18.06%;8203130;21984;;48 898;19.9%;;;;;;;;;;;;;;;;
;01.03;9647178;49511;9945404;50212;19307;38.45%;2359647;33855;26.63%;1699999;7937;17.09%;17.62%;15.81%;16.03%;8245405;42275;;50 074;20.0%;;;;;;;;;;;;;;;;
;02.03;9709247;62069;10008084;62680;17509;27.93%;2382914;23267;29.18%;1715697;15698;17.14%;17.67%;25.04%;25.29%;8292387;46982;;50 193;20.8%;;;;;;;;;;;;;;;;
;03.03;9771618;62371;10070976;62892;17127;27.23%;2406123;23209;29.32%;1730947;15250;17.19%;17.71%;24.25%;24.45%;8340029;47642;;50 970;21.3%;;;;;;;;;;;;;;;;
;04.03;9830224;58606;10130094;59118;15865;26.84%;2429966;23843;32.54%;1746776;15829;17.24%;17.77%;26.78%;27.01%;8383318;43289;;51 792;22.0%;;;;;;;;;;;;;;;;
;05.03;9892083;61859;10192522;62428;18100;28.99%;2455490;25524;30.95%;1761633;14857;17.28%;17.81%;23.80%;24.02%;8430889;47571;;52 571;22.4%;;;;;;;;;;;;;;;;
;06.03;9941773;49690;10242519;49997;11960;23.92%;2456146;656;39.28%;1775207;13574;17.33%;17.86%;27.15%;27.32%;8467312;36423;;53 442;23.0%;;;;;;;;;;;;;;;;
;07.03;9972993;31220;10274266;31747;11093;34.94%;2456705;559;87.58%;1781377;6170;17.34%;17.86%;19.43%;19.76%;8492889;25577;;54 153;23.2%;;;;;;;;;;;;;;;;
;08.03;10026386;53393;10328276;54010;20891;38.68%;2499389;42684;26.08%;1791331;9954;17.34%;17.87%;18.43%;18.64%;8536945;44056;;54 696;23.6%;;;;;;;;;;;;;;;;
;09.03;10094148;67762;10396659;68383;19405;28.38%;2531071;31682;36.17%;1808591;17260;17.40%;17.92%;25.24%;25.47%;8588068;51123;;55 511;23.6%;;;;;;;;;;;;;;;;
;10.03;10166877;72729;10469991;73332;17985;24.53%;2561143;30072;29.57%;1829636;21045;17.48%;18.00%;28.70%;28.94%;8640355;52287;;57 002;24.2%;;;;;;;;;;;;;;;;
;11.03;10232207;65330;10535957;65966;17942;27.20%;2593518;32375;35.78%;1848411;18775;17.54%;18.06%;28.46%;28.74%;8687546;47191;;57 980;24.5%;;;;;;;;;;;;;;;;
;12.03;10304911;72704;10609077;73120;18703;25.58%;2628508;34990;37.09%;1869460;21049;17.62%;18.14%;28.79%;28.95%;8739617;52071;;59 508;25.2%;;;;;;;;;;;;;;;;
;13.03;10364307;59396;10668987;59910;11821;19.73%;2629507;999;52.29%;1886719;17259;17.68%;18.20%;28.81%;29.06%;8782268;42651;;60 924;25.4%;;;;;;;;;;;;;;;;
;14.03;10406359;42052;10711359;42372;10517;24.82%;2630187;680;21.65%;1897615;10896;17.72%;18.24%;25.72%;25.91%;8813744;31476;;62 442;26.3%;;;;;;;;;;;;;;;;
;15.03;10469604;63245;10775274;63915;23032;36.04%;2689748;59561;39.54%;1912011;14396;17.74%;18.26%;22.52%;22.76%;8863263;49519;;63 857;26.9%;;;;;;;;;;;;;;;;
;16.03;10553760;84156;10860136;84862;20845;24.56%;2731697;41949;32.41%;1937063;25052;17.84%;18.35%;29.52%;29.77%;8923073;59810;;66 211;27.5%;;;;;;;;;;;;;;;;
;17.03;10639405;85645;10946376;86240;18542;21.50%;2770969;39272;30.59%;1964341;27278;17.95%;18.46%;31.63%;31.85%;8982035;58962;;68 055;27.9%;;;;;;;;;;;;;;;;
;18.03;10724813;85408;11032529;86153;19643;22.80%;2810314;39345;21.53%;1990339;25998;18.04%;18.56%;30.18%;30.44%;9042190;60155;;70 939;28.2%;;;;;;;;;;;;;;;;
;19.03;10811734;86921;11120138;87609;19580;22.35%;2851580;41266;17.94%;2016744;26405;18.14%;18.65%;30.14%;30.38%;9103394;61204;;73 009;28.4%;;;;;;;;;;;;;;;;
;20.03;10874141;62407;11183037;62899;11914;18.94%;2852700;1120;12.11%;2038593;21849;18.23%;18.75%;34.74%;35.01%;9144444;41050;;73 436;29.2%;;;;;;;;;;;;;;;;
;21.03;10922632;48491;11232172;49135;14066;28.63%;2853729;1029;51.32%;2053171;14578;18.28%;18.80%;29.67%;30.06%;9179001;34557;;74 402;29.8%;;;;;;;;;;;;;;;;
;22.03;10993720;71088;11304601;72429;24743;34.16%;2920220;66491;11.64%;2069912;16741;18.31%;18.83%;23.11%;23.55%;9234689;55688;;75 618;29.9%;;;;;;;;;;;;;;;;
;23.03;11088912;95192;11400455;95854;23712;24.74%;2968813;48593;15.84%;2099890;29978;18.42%;18.94%;31.27%;31.49%;9300565;65876;;77 188;30.1%;;;;;;;;;;;;;;;;
;24.03;11190985;102073;11503034;102579;21966;21.41%;3017628;48815;24.30%;2134041;34151;18.55%;19.07%;33.29%;33.46%;9368993;68428;;79 523;30.3%;;;;;;;;;;;;;;;;
;25.03;11297602;106617;11610747;107713;24914;23.13%;3066254;48626;23.59%;2169184;35143;18.68%;19.20%;32.63%;32.96%;9441563;72570;;82 603;30.7%;;;;;;;;;;;;;;;;
;26.03;11397901;100299;11711826;101079;23380;23.13%;3113175;46921;13.70%;2200941;31757;18.79%;19.31%;31.42%;31.66%;9510885;69322;;84 527;30.9%;;;;;;;;;;;;;;;;
;27.03;11483912;86011;11798342;86516;14743;17.04%;3114466;1291;15.27%;2230194;29253;18.90%;19.42%;33.81%;34.01%;9568148;57263;;87 901;30.7%;;;;;;;;;;;;;;;;
;28.03;11538248;54336;11853134;54792;11623;21.21%;3115323;857;-16.72%;2247159;16965;18.96%;19.48%;30.96%;31.22%;9605975;37827;;88 709;30.9%;;;;;;;;;;;;;;;;
;29.03;11617563;79315;11933222;80088;27399;34.21%;3179757;64434;-3.09%;2268029;20870;19.01%;19.52%;26.06%;26.31%;9665193;59218;;89 803;31.3%;;;;;;;;;;;;;;;;
;30.03;11719687;102124;12036040;102818;24982;24.30%;3225029;45272;-6.83%;2300903;32874;19.12%;19.63%;31.97%;32.19%;9735137;69944;;90 798;31.4%;;;;;;;;;;;;;;;;
;31.03;11828428;108741;12145470;109430;24421;22.32%;3264805;39776;-18.52%;2336154;35251;19.23%;19.75%;32.21%;32.42%;9809316;74179;;91 777;31.3%;;;;;;;;;;;;;;;;
;01.04;11928751;100323;12246907;101437;27012;26.63%;3302303;37498;-22.88%;2366700;30546;19.32%;19.84%;30.11%;30.45%;9880207;70891;;90 880;30.9%;;;;;;;;;;;;;;;;
;02.04;12022414;93663;12341238;94331;26674;28.28%;3334327;32024;-31.75%;2394773;28073;19.40%;19.92%;29.76%;29.97%;9946465;66258;;89 916;30.7%;;;;;;;;;;;;;;;;
;03.04;12094143;71729;12413519;72281;17948;24.83%;3335480;1153;-10.69%;2417720;22947;19.48%;19.99%;31.75%;31.99%;9995799;49334;;87 882;30.4%;;;;;;;;;;;;;;;;
;04.04;12133197;39054;12452912;39393;15251;38.72%;3336064;584;-31.86%;2427622;9902;19.49%;20.01%;25.14%;25.35%;10025290;29491;;85 683;29.6%;;;;;;;;;;;;;;;;
;05.04;12177640;44443;12497846;44934;22835;50.82%;3337035;971;-98.49%;2435867;8245;19.49%;20.00%;18.35%;18.55%;10061979;36689;;80 661;28.5%;;;;;;;;;;;;;;;;
;06.04;12267012;89372;12588747;90901;45666;50.24%;3393163;56128;23.98%;2450777;14910;19.47%;19.98%;16.40%;16.68%;10137970;75991;;78 958;26.2%;;;;;;;;;;;;;;;;
;07.04;12377637;110625;12700278;111531;38641;34.65%;3430945;37782;-5.01%;2478664;27887;19.52%;20.03%;25.00%;25.21%;10221614;83644;;79 258;25.2%;;;;;;;;;;;;;;;;
;08.04;12483896;106259;12807584;107306;32787;30.55%;3465916;34971;-6.74%;2507151;28487;19.58%;20.08%;26.55%;26.81%;10300433;78819;;80 097;24.7%;;;;;;;;;;;;;;;;
;09.04;12588018;104122;12912603;105019;36638;34.89%;3498809;32893;2.71%;2532007;24856;19.61%;20.11%;23.67%;23.87%;10380596;80163;;81 624;23.8%;;;;;;;;;;;;;;;;
;10.04;12679085;91067;13004473;91870;30745;33.47%;3500217;1408;22.12%;2553710;21703;19.64%;20.14%;23.62%;23.83%;10450763;70167;;84 422;22.7%;;;;;;;;;;;;;;;;
;11.04;12736981;57896;13062929;58456;24433;41.80%;3500976;759;29.97%;2565723;12013;19.64%;20.14%;20.55%;20.75%;10497206;46443;;87 145;22.0%;;;;;;;;;;;;;;;;
;12.04;12817932;80951;13144831;81902;41059;50.13%;3544698;43722;4402.78%;2578950;13227;19.62%;20.12%;16.15%;16.34%;10565881;68675;;92 426;21.7%;;;;;;;;;;;;;;;;
;13.04;12915996;98064;13243930;99099;35794;36.12%;3573529;28831;-48.63%;2600233;21283;19.63%;20.13%;21.48%;21.70%;10643697;77816;;93 598;22.4%;;;;;;;;;;;;;;;;
;14.04;13006467;90471;13335088;91158;28566;31.34%;3598812;25283;-33.08%;2621363;21130;19.66%;20.15%;23.18%;23.36%;10713725;70028;;90 687;22.2%;;;;;;;;;;;;;;;;
;15.04;13088717;82250;13418171;83083;29342;35.32%;3621725;22913;-34.48%;2639210;17847;19.67%;20.16%;21.48%;21.70%;10778961;65236;;87 227;21.4%;;;;;;;;;;;;;;;;
;16.04;13172601;83884;13503602;85431;33534;39.25%;3643898;22173;-32.59%;2654973;15763;19.66%;20.16%;18.45%;18.79%;10848629;69668;;84 428;20.7%;;;;;;;;;;;;;;;;
;17.04;13237466;64865;13569012;65410;24736;37.82%;3644848;950;-32.53%;2667126;12153;19.66%;20.15%;18.58%;18.74%;10901886;53257;;80 648;20.0%;;;;;;;;;;;;;;;;
;18.04;13284747;47281;13616661;47649;19983;41.94%;3645429;581;-23.45%;2674409;7283;19.64%;20.13%;15.28%;15.40%;10942252;40366;;79 105;19.2%;;;;;;;;;;;;;;;;
;19.04;13354451;69704;13687251;70590;35917;50.88%;3673480;28051;-35.84%;2683655;9246;19.61%;20.10%;13.10%;13.26%;11003596;61344;;77 489;18.8%;;;;;;;;;;;;;;;;
;20.04;13432082;77631;13767550;80299;30723;38.26%;3691962;18482;-35.90%;2697581;13926;19.59%;20.08%;17.34%;17.94%;11069969;66373;;74 803;18.2%;;;;;;;;;;;;;;;;
;21.04;13503310;71228;13839288;71738;27075;37.74%;3711892;19930;-21.17%;2710343;12762;19.58%;20.07%;17.79%;17.92%;11128945;58976;;72 029;17.4%;;;;;;;;;;;;;;;;
;22.04;13565303;61993;13901801;62513;22063;35.29%;3730324;18432;-19.56%;2721201;10858;19.57%;20.06%;17.37%;17.51%;11180600;51655;;69 090;16.8%;;;;;;;;;;;;;;;;
;23.04;13634982;69679;13972673;70872;32666;46.09%;3744644;14320;-35.42%;2730706;9505;19.54%;20.03%;13.41%;13.64%;11241967;61367;;67 010;16.1%;;;;;;;;;;;;;;;;
;24.04;13685289;50307;14023812;51139;22154;43.32%;3745464;820;-13.68%;2737925;7219;19.52%;20.01%;14.12%;14.35%;11285887;43920;;64 971;15.5%;;;;;;;;;;;;;;;;
;25.04;13718735;33446;14057613;33801;17019;50.35%;3745896;432;-25.65%;2741376;3451;19.50%;19.98%;10.21%;10.32%;11316237;30350;;62 993;14.8%;;;;;;;;;;;;;;;;
;26.04;13782481;63746;14122423;64810;34093;52.60%;3766294;20398;-27.28%;2747085;5709;19.45%;19.93%;8.81%;8.96%;11375338;59101;;62 167;14.1%;;;;;;;;;;;;;;;;
;27.04;13853359;70878;14194145;71722;30005;41.84%;3779714;13420;-27.39%;2755980;8895;19.42%;19.89%;12.40%;12.55%;11438165;62827;;60 942;13.4%;;;;;;;;;;;;;;;;
;28.04;13918479;65120;14259976;65831;27047;41.09%;3791579;11865;-40.47%;2764407;8427;19.39%;19.86%;12.80%;12.94%;11495569;57404;;60 098;12.7%;;;;;;;;;;;;;;;;
;29.04;13978843;60364;14321250;61274;27358;44.65%;3802699;11120;-39.67%;2771203;6796;19.35%;19.82%;11.09%;11.26%;11550047;54478;;59 921;11.8%;;;;;;;;;;;;;;;;
;30.04;14041166;62323;14384650;63400;29365;46.32%;3813261;10562;-26.24%;2777672;6469;19.31%;19.78%;10.20%;10.38%;11606978;56931;;58 854;11.4%;;;;;;;;;;;;;;;;
;01.05;14084044;42878;14428003;43353;19776;45.62%;3813836;575;-29.88%;2782284;4612;19.28%;19.75%;10.64%;10.76%;11645719;38741;;57 742;10.9%;;;;;;;;;;;;;;;;
;02.05;14114579;30535;14459033;31030;17536;56.51%;3814315;479;10.88%;2784809;2525;19.26%;19.73%;8.14%;8.27%;11674224;28505;;57 346;10.6%;;;;;;;;;;;;;;;;
;03.05;14145372;30793;14490193;31160;16762;53.79%;3814935;620;-96.96%;2787105;2296;19.23%;19.70%;7.37%;7.46%;11703088;28864;;52 539;10.4%;;;;;;;;;;;;;;;;
;04.05;14200822;55450;14546443;56250;30326;53.91%;3833075;18140;35.17%;2791001;3896;19.19%;19.65%;6.93%;7.03%;11755442;52354;;50 328;9.6%;;;;;;;;;;;;;;;;
;05.05;14266710;65888;14613070;66627;31399;47.13%;3846281;13206;11.30%;2797432;6431;19.14%;19.61%;9.65%;9.76%;11815638;60196;;50 442;9.1%;;;;;;;;;;;;;;;;
;06.05;14331563;64853;14678781;65711;30520;46.45%;3858259;11978;7.72%;2803479;6047;19.10%;19.56%;9.20%;9.32%;11875302;59664;;51 076;8.9%;;;;;;;;;;;;;;;;
;07.05;14394369;62806;14742236;63455;30342;47.82%;3868005;9746;-7.73%;2808244;4765;19.05%;19.51%;7.51%;7.59%;11933992;58690;;51 084;8.5%;;;;;;;;;;;;;;;;
;08.05;14445652;51283;14794397;52161;24571;47.11%;3868578;573;-0.35%;2812096;3852;19.01%;19.47%;7.38%;7.51%;11982301;48309;;52 342;8.0%;;;;;;;;;;;;;;;;
;09.05;14482346;36694;14831359;36962;21192;57.33%;3870703;2125;343.63%;2814128;2032;18.97%;19.43%;5.50%;5.54%;12017231;34930;;53 189;7.6%;;;;;;;;;;;;;;;;
;10.05;14544141;61795;14894006;62647;35926;57.35%;3886121;15418;2386.77%;2817226;3098;18.92%;19.37%;4.95%;5.01%;12076780;59549;;57 688;7.3%;;;;;;;;;;;;;;;;
;11.05;14609529;65388;14960240;66234;31603;47.71%;3896563;10442;-42.44%;2821481;4255;18.86%;19.31%;6.42%;6.51%;12138759;61979;;59 114;7.2%;;;;;;;;;;;;;;;;
;12.05;14666237;56708;15017415;57175;26357;46.10%;3906005;9442;-28.50%;2825211;3730;18.81%;19.26%;6.52%;6.58%;12192204;53445;;57 764;6.8%;;;;;;;;;;;;;;;;
;13.05;14726428;60191;15078062;60647;26357;43.46%;3915464;9459;-21.03%;2828499;3288;18.76%;19.21%;5.42%;5.46%;12249563;57359;;57 040;6.2%;;;;;;;;;;;;;;;;
;14.05;14782781;56353;15135124;57062;27782;48.69%;3923911;8447;-13.33%;2831395;2896;18.71%;19.15%;5.08%;5.14%;12303729;54166;;56 127;5.9%;;;;;;;;;;;;;;;;
;15.05;14830984;48203;15184082;48958;24427;49.89%;3924947;1036;80.80%;2833562;2167;18.66%;19.11%;4.43%;4.50%;12350520;46791;;55 669;5.5%;;;;;;;;;;;;;;;;
;16.05;14863706;32722;15217177;33095;18681;56.45%;3926575;1628;-23.39%;2834671;1109;18.63%;19.07%;3.35%;3.39%;12382506;31986;;55 117;5.2%;;;;;;;;;;;;;;;;
;17.05;14921005;57299;15276880;59703;33765;56.55%;3938542;11967;-22.38%;2836405;1734;18.57%;19.01%;2.90%;3.03%;12440475;57969;;54 696;4.9%;;;;;;;;;;;;;;;;
;18.05;14978712;57707;15335408;58528;27070;46.25%;3946920;8378;-19.77%;2838749;2344;18.51%;18.95%;4.00%;4.06%;12496659;56184;;53 595;4.5%;;;;;;;;;;;;;;;;
;19.05;15033623;54911;15390803;55395;26490;47.82%;3954478;7558;-19.95%;2840835;2086;18.46%;18.90%;3.77%;3.80%;12549968;53309;;53 341;4.1%;;;;;;;;;;;;;;;;
;20.05;15090237;56614;15448057;57254;31261;54.60%;3961123;6645;-29.75%;2842514;1679;18.40%;18.84%;2.93%;2.97%;12605543;55575;;52 856;3.8%;;;;;;;;;;;;;;;;
;21.05;15147819;57582;15506202;58145;29911;51.44%;3966951;5828;-31.01%;2844030;1516;18.34%;18.78%;2.61%;2.63%;12662172;56629;;53 011;3.4%;;;;;;;;;;;;;;;;
;22.05;15189485;41666;15548433;42231;20851;49.37%;3967656;705;-31.95%;2845105;1075;18.30%;18.73%;2.55%;2.58%;12703328;41156;;52 050;3.2%;;;;;;;;;;;;;;;;
;23.05;15222434;32949;15581754;33321;20495;61.51%;3968429;773;-52.52%;2845664;559;18.26%;18.69%;1.68%;1.70%;12736090;32762;;52 082;2.9%;;;;;;;;;;;;;;;;
;24.05;15283000;60566;15643198;61444;38292;62.32%;3978035;9606;-19.73%;2846664;1000;18.20%;18.63%;1.63%;1.65%;12796534;60444;;52 331;2.7%;;;;;;;;;;;;;;;;
;25.05;15340290;57290;15701138;57940;29423;50.78%;3984586;6551;-21.81%;2847931;1267;18.14%;18.57%;2.19%;2.21%;12853207;56673;;52 247;2.5%;;;;;;;;;;;;;;;;
;26.05;15403654;63364;15765052;63914;37507;58.68%;3990435;5849;-22.61%;2849161;1230;18.07%;18.50%;1.92%;1.94%;12915891;62684;;53 464;2.2%;;;;;;;;;;;;;;;;
;27.05;15458640;54986;15820720;55668;29489;52.97%;3996241;5806;-12.63%;2850107;946;18.02%;18.44%;1.70%;1.72%;12970613;54722;;53 238;2.0%;;;;;;;;;;;;;;;;
;28.05;15519402;60762;15882644;61924;32381;52.29%;4001701;5460;-6.31%;2850882;775;17.95%;18.37%;1.25%;1.28%;13031762;61149;;53 777;1.8%;;;;;;;;;;;;;;;;
;29.05;15563943;44541;15927623;44979;23643;52.56%;4002501;800;13.48%;2851461;579;17.90%;18.32%;1.29%;1.30%;13076162;44400;;54 170;1.7%;;;;;;;;;;;;;;;;
;30.05;15595978;32035;15959992;32369;19366;59.83%;4003593;1092;41.27%;2851794;333;17.87%;18.29%;1.03%;1.04%;13108198;32036;;54 034;1.6%;;;;;;;;;;;;;;;;
;31.05;15654899;58921;16019725;59733;37103;62.11%;4010806;7213;-24.91%;2852382;588;17.81%;18.22%;0.98%;1.00%;13167343;59145;;53 790;1.5%;;;;;;;;;;;;;;;;
;01.06;15711249;56350;16076784;57059;31182;54.65%;4015955;5149;-21.40%;2853046;664;17.75%;18.16%;1.16%;1.18%;13223738;56395;;53 664;1.3%;;;;;;;;;;;;;;;;
;02.06;15765794;54545;16131930;55146;31063;56.33%;4020093;4138;-29.25%;2853618;572;17.69%;18.10%;1.04%;1.05%;13278312;54574;;52 411;1.2%;;;;;;;;;;;;;;;;
;03.06;15798701;32907;16165215;33285;18406;55.30%;4020693;600;-89.67%;2853937;319;17.65%;18.06%;0.96%;0.97%;13311278;32966;;49 214;1.1%;;;;;;;;;;;;;;;;
;04.06;15848113;49412;16215213;49998;31138;62.28%;4025020;4327;-20.75%;2854352;415;17.60%;18.01%;0.83%;0.84%;13360861;49583;;47 510;1.0%;;;;;;;;;;;;;;;;
;05.06;15891980;43867;16259923;44710;26760;59.85%;4026167;1147;43.38%;2854664;312;17.56%;17.96%;0.70%;0.71%;13405259;44398;;47 471;1.0%;;;;;;;;;;;;;;;;
;06.06;15923744;31764;16292058;32135;21826;67.92%;4026799;632;-42.12%;2854858;194;17.52%;17.93%;0.60%;0.61%;13437200;31941;;47 438;0.90%;;;;;;;;;;;;;;;;
;07.06;15987254;63510;16356648;64590;41703;64.57%;4033084;6285;-12.87%;2855258;400;17.46%;17.86%;0.62%;0.63%;13501390;64190;;48 132;0.84%;;;;;;;;;;;;;;;;
;08.06;16044546;57292;16414747;58099;33329;57.37%;4037377;4293;-16.62%;2855686;428;17.40%;17.80%;0.74%;0.75%;13559061;57671;;48 280;0.78%;;;;;;;;;;;;;;;;
;09.06;16097102;52556;16467982;53235;31216;58.64%;4040977;3600;-13.00%;2856068;382;17.34%;17.74%;0.72%;0.73%;13611914;52853;;48 007;0.74%;;;;;;;;;;;;;;;;
;10.06;16149096;51994;16522649;54667;32974;60.32%;4044094;3117;419.50%;2856409;341;17.29%;17.69%;0.62%;0.66%;13666240;54326;;51 062;0.69%;;;;;;;;;;;;;;;;
;11.06;16204155;55059;16578643;55994;35759;63.86%;4047426;3332;-23.00%;2856648;239;17.23%;17.63%;0.43%;0.43%;13721995;55755;;51 919;0.63%;;;;;;;;;;;;;;;;
;12.06;16251795;47640;16627052;48409;29742;61.44%;4047950;524;-54.32%;2856875;227;17.18%;17.58%;0.47%;0.48%;13770177;48182;;52 447;0.60%;;;;;;;;;;;;;;;;
;13.06;16284711;32916;16660303;33251;29742;89.45%;4048478;528;-16.46%;2857015;140;17.15%;17.54%;0.42%;0.43%;13803288;33111;;52 606;0.57%;;;;;;;;;;;;;;;;
;14.06;16342667;57956;16718899;58596;38200;65.19%;4052889;4411;-29.82%;2857230;215;17.09%;17.48%;0.37%;0.37%;13861669;58381;;51 750;0.54%;;;;;;;;;;;;;;;;
;15.06;16396697;54030;16773510;54611;33289;60.96%;4055820;2931;-31.73%;2857471;241;17.04%;17.43%;0.44%;0.45%;13916039;54370;;51 252;0.50%;;;;;;;;;;;;;;;;
